"locality","lon","lat","emergence","host","host.gen","radius","ENM_avz_sd","ENM_avm_sd","ENM_avs_sd"
"Kamboinse",-1.552899,12.461239,0.691135734,"sorghum","2219B",50000,0.0859636161992012,0.0570209397939389,0.0345684256054916
"Kamboinse",-1.552899,12.461239,0.127423823,"millet","B-282",50000,0.0859636161992012,0.0570209397939389,0.0345684256054916
"Kamboinse",-1.552899,12.461239,0.084487535,"millet","Ex-Bomu",50000,0.0859636161992012,0.0570209397939389,0.0345684256054916
"Kamboinse",-1.552899,12.461239,0.084487535,"millet","J-104",50000,0.0859636161992012,0.0570209397939389,0.0345684256054916
"Kamboinse",-1.552899,12.461239,0.391966759,"millet","D2-Comp",50000,0.0859636161992012,0.0570209397939389,0.0345684256054916
"Kamboinse",-1.552899,12.461239,0.127423823,"millet","CIVT-II",50000,0.0859636161992012,0.0570209397939389,0.0345684256054916
"Kamboinse",-1.552899,12.461239,0.084487535,"maize","D-771",50000,0.0859636161992012,0.0570209397939389,0.0345684256054916
"Kamboinse",-1.552899,12.461239,0.110803324,"maize","Diara",50000,0.0859636161992012,0.0570209397939389,0.0345684256054916
"Kamboinse",-1.552899,12.461239,0.110803324,"maize","Syn-B23",50000,0.0859636161992012,0.0570209397939389,0.0345684256054916
"Kamboinse",-1.552899,12.461239,0.110803324,"maize","L-4",50000,0.0859636161992012,0.0570209397939389,0.0345684256054916
"Kankia",7.783579,12.427128,0.337837838,"maize","8322-13",50000,0.185200356324132,0.112725743472322,0.119717923009107
"Kankia",7.783579,12.427128,0.382882883,"maize","8425-8",50000,0.185200356324132,0.112725743472322,0.119717923009107
"Kankia",7.783579,12.427128,1,"maize","8338-1",50000,0.185200356324132,0.112725743472322,0.119717923009107
"Kankia",7.783579,12.427128,0.666666667,"maize","8321-21",50000,0.185200356324132,0.112725743472322,0.119717923009107
"Kankia",7.783579,12.427128,0.527027027,"sorghum","KSY-15",50000,0.185200356324132,0.112725743472322,0.119717923009107
"Kankia",7.783579,12.427128,0.346846847,"sorghum","SRN-4841",50000,0.185200356324132,0.112725743472322,0.119717923009107
"Kankia",7.783579,12.427128,0.292792793,"millet","SE302",50000,0.185200356324132,0.112725743472322,0.119717923009107
"Kankia",7.783579,12.427128,0.238738739,"millet","SE2124",50000,0.185200356324132,0.112725743472322,0.119717923009107
"Kazgail",30.16666667,12.08333333,1,"sorghum",NA,50000,0.141230904839019,0.203736014362494,0.0990447913313576
"Kazgail",30.16666667,12.08333333,0.5,"millet",NA,50000,0.141230904839019,0.203736014362494,0.0990447913313576
"Kobo",39.63702,12.149681,0.615097856,"sorghum","IS-5603",50000,0.155057862393311,0.151369920174366,0.206275809286293
"Kobo",39.63702,12.149681,0.272134203,"sorghum","SRN-4841",50000,0.155057862393311,0.151369920174366,0.206275809286293
"Kobo",39.63702,12.149681,0.624417521,"sorghum","N-13",50000,0.155057862393311,0.151369920174366,0.206275809286293
"Kobo",39.63702,12.149681,0.783783784,"sorghum","CK-60B",50000,0.155057862393311,0.151369920174366,0.206275809286293
"Kobo",39.63702,12.149681,1,"sorghum","1202B",50000,0.155057862393311,0.151369920174366,0.206275809286293
"Kobo",39.63702,12.149681,0.797763281,"sorghum","2219B",50000,0.155057862393311,0.151369920174366,0.206275809286293
"Kobo",39.63702,12.149681,0.069897484,"millet","B-282",50000,0.155057862393311,0.151369920174366,0.206275809286293
"Kobo",39.63702,12.149681,0.100652377,"millet","Ex-Bomu",50000,0.155057862393311,0.151369920174366,0.206275809286293
"Kobo",39.63702,12.149681,0.056849953,"millet","J-104",50000,0.155057862393311,0.151369920174366,0.206275809286293
"Kobo",39.63702,12.149681,0.069897484,"millet","D2-Comp",50000,0.155057862393311,0.151369920174366,0.206275809286293
"Kobo",39.63702,12.149681,0.138863001,"maize","D-771",50000,0.155057862393311,0.151369920174366,0.206275809286293
"Kobo",39.63702,12.149681,0.487418453,"maize","Diara",50000,0.155057862393311,0.151369920174366,0.206275809286293
"Kobo",39.63702,12.149681,0.657036347,"maize","Syn-B23",50000,0.155057862393311,0.151369920174366,0.206275809286293
"Kobo",39.63702,12.149681,0.399813607,"maize","L-4",50000,0.155057862393311,0.151369920174366,0.206275809286293
"Maradi",7.103067,13.506128,0.084604716,"sorghum","IS-5603",50000,0.0966837215937189,0.12083504657596,0.0995916060318255
"Maradi",7.103067,13.506128,0.145631068,"sorghum","SRN-4841",50000,0.0966837215937189,0.12083504657596,0.0995916060318255
"Maradi",7.103067,13.506128,0.084604716,"sorghum","N-13",50000,0.0966837215937189,0.12083504657596,0.0995916060318255
"Maradi",7.103067,13.506128,0.13592233,"sorghum","CK-60B",50000,0.0966837215937189,0.12083504657596,0.0995916060318255
"Maradi",7.103067,13.506128,0.116504854,"sorghum","1202B",50000,0.0966837215937189,0.12083504657596,0.0995916060318255
"Maradi",7.103067,13.506128,0.155339806,"sorghum","2219B",50000,0.0966837215937189,0.12083504657596,0.0995916060318255
"Maradi",7.103067,13.506128,0.588072122,"millet","B-282",50000,0.0966837215937189,0.12083504657596,0.0995916060318255
"Maradi",7.103067,13.506128,0.485436893,"millet","Ex-Bomu",50000,0.0966837215937189,0.12083504657596,0.0995916060318255
"Maradi",7.103067,13.506128,0.104022191,"millet","J-104",50000,0.0966837215937189,0.12083504657596,0.0995916060318255
"Maradi",7.103067,13.506128,1,"millet","D2-Comp",50000,0.0966837215937189,0.12083504657596,0.0995916060318255
"Maradi",7.103067,13.506128,0.78779473,"millet","CIVT-II",50000,0.0966837215937189,0.12083504657596,0.0995916060318255
"Maradi",7.103067,13.506128,0.117891817,"maize","D-771",50000,0.0966837215937189,0.12083504657596,0.0995916060318255
"Maradi",7.103067,13.506128,0.104022191,"maize","Diara",50000,0.0966837215937189,0.12083504657596,0.0995916060318255
"Maradi",7.103067,13.506128,0.525658807,"maize","Syn-B23",50000,0.0966837215937189,0.12083504657596,0.0995916060318255
"Maradi",7.103067,13.506128,0.310679612,"maize","L-4",50000,0.0966837215937189,0.12083504657596,0.0995916060318255
"Mintimbougou",-7.956554,12.614931,0.248478702,"sorghum","IS-5603",50000,0.156858075047839,0.0546482684661144,0.0676656520888775
"Mintimbougou",-7.956554,12.614931,0.684584178,"sorghum","SRN-4841",50000,0.156858075047839,0.0546482684661144,0.0676656520888775
"Mintimbougou",-7.956554,12.614931,0.248478702,"sorghum","N-13",50000,0.156858075047839,0.0546482684661144,0.0676656520888775
"Mintimbougou",-7.956554,12.614931,1,"sorghum","CK-60B",50000,0.156858075047839,0.0546482684661144,0.0676656520888775
"Mintimbougou",-7.956554,12.614931,0.345841785,"sorghum","1202B",50000,0.156858075047839,0.0546482684661144,0.0676656520888775
"Mintimbougou",-7.956554,12.614931,0.594320487,"sorghum","2219B",50000,0.156858075047839,0.0546482684661144,0.0676656520888775
"Mintimbougou",-7.956554,12.614931,0.690669371,"millet","B-282",50000,0.156858075047839,0.0546482684661144,0.0676656520888775
"Mintimbougou",-7.956554,12.614931,0.72515213,"millet","Ex-Bomu",50000,0.156858075047839,0.0546482684661144,0.0676656520888775
"Mintimbougou",-7.956554,12.614931,0.364097363,"millet","J-104",50000,0.156858075047839,0.0546482684661144,0.0676656520888775
"Mintimbougou",-7.956554,12.614931,0.776876268,"millet","D2-Comp",50000,0.156858075047839,0.0546482684661144,0.0676656520888775
"Mintimbougou",-7.956554,12.614931,0.918864097,"millet","CIVT-II",50000,0.156858075047839,0.0546482684661144,0.0676656520888775
"Mintimbougou",-7.956554,12.614931,0.109533469,"maize","D-771",50000,0.156858075047839,0.0546482684661144,0.0676656520888775
"Mintimbougou",-7.956554,12.614931,0.137931034,"maize","Diara",50000,0.156858075047839,0.0546482684661144,0.0676656520888775
"Mintimbougou",-7.956554,12.614931,0.165314402,"maize","Syn-B23",50000,0.156858075047839,0.0546482684661144,0.0676656520888775
"Mintimbougou",-7.956554,12.614931,0.109533469,"maize","L-4",50000,0.156858075047839,0.0546482684661144,0.0676656520888775
"Mokwa",5.056659,9.2894,0.292134831,"maize","8322-13",50000,0.12112431388639,0.0997325037979114,0.101233135421337
"Mokwa",5.056659,9.2894,1,"maize","8425-8",50000,0.12112431388639,0.0997325037979114,0.101233135421337
"Mokwa",5.056659,9.2894,0.488764045,"maize","8338-1",50000,0.12112431388639,0.0997325037979114,0.101233135421337
"Mokwa",5.056659,9.2894,0.382022472,"maize","8321-21",50000,0.12112431388639,0.0997325037979114,0.101233135421337
"Mokwa",5.056659,9.2894,0.58988764,"sorghum","KSY-15",50000,0.12112431388639,0.0997325037979114,0.101233135421337
"Mokwa",5.056659,9.2894,0.573033708,"sorghum","SRN-4841",50000,0.12112431388639,0.0997325037979114,0.101233135421337
"Mokwa",5.056659,9.2894,0.213483146,"millet","SE302",50000,0.12112431388639,0.0997325037979114,0.101233135421337
"Mokwa",5.056659,9.2894,0.101123596,"millet","SE2124",50000,0.12112431388639,0.0997325037979114,0.101233135421337
"Ngezima",11.130908,11.423724,0.220264317,"maize","8322-13",50000,0.169853862399111,0.129793017012959,0.126946527131966
"Ngezima",11.130908,11.423724,0.374449339,"maize","8425-8",50000,0.169853862399111,0.129793017012959,0.126946527131966
"Ngezima",11.130908,11.423724,1,"maize","8338-1",50000,0.169853862399111,0.129793017012959,0.126946527131966
"Ngezima",11.130908,11.423724,0.823788546,"maize","8321-21",50000,0.169853862399111,0.129793017012959,0.126946527131966
"Ngezima",11.130908,11.423724,0.704845815,"sorghum","KSY-15",50000,0.169853862399111,0.129793017012959,0.126946527131966
"Ngezima",11.130908,11.423724,0.537444934,"sorghum","SRN-4841",50000,0.169853862399111,0.129793017012959,0.126946527131966
"Ngezima",11.130908,11.423724,0.449339207,"millet","SE302",50000,0.169853862399111,0.129793017012959,0.126946527131966
"Ngezima",11.130908,11.423724,0.167400881,"millet","SE2124",50000,0.169853862399111,0.129793017012959,0.126946527131966
"Obeid",30.23333333,13.16666667,1,"sorghum",NA,50000,0.13417953279166,0.0727829672058339,0.0937928245251828
"Obeid",30.23333333,13.16666667,0.25,"millet",NA,50000,0.13417953279166,0.0727829672058339,0.0937928245251828
"Samaru",8.38333,9.75,0.083333333,"sorghum","IS-2652",50000,0.124597605916989,0.120932444007129,0.113252616364989
"Samaru",8.38333,9.75,0.05952381,"sorghum","IS-3469",50000,0.124597605916989,0.120932444007129,0.113252616364989
"Samaru",8.38333,9.75,0.125,"sorghum","IS-9289",50000,0.124597605916989,0.120932444007129,0.113252616364989
"Samaru",8.38333,9.75,1,"sorghum","DFF-2123",50000,0.124597605916989,0.120932444007129,0.113252616364989
"Samaru",8.38333,9.75,0,"millet","Ex-Tukur",50000,0.124597605916989,0.120932444007129,0.113252616364989
"Samaru",8.38333,9.75,0,"millet","Ex-Mokwa",50000,0.124597605916989,0.120932444007129,0.113252616364989
"Samaru",8.38333,9.75,0,"maize","NigCompB",50000,0.124597605916989,0.120932444007129,0.113252616364989
"Samaru",8.38333,9.75,0,"maize","BiuYellowXC-10",50000,0.124597605916989,0.120932444007129,0.113252616364989
"SinthionMaleme",-13.916667,13.8167,1,"sorghum","IS-2652",50000,0.0700310602951302,0.0589504043711644,0.0416975470327823
"SinthionMaleme",-13.916667,13.8167,0.037037037,"sorghum","IS-3469",50000,0.0700310602951302,0.0589504043711644,0.0416975470327823
"SinthionMaleme",-13.916667,13.8167,0.611111111,"sorghum","IS-9289",50000,0.0700310602951302,0.0589504043711644,0.0416975470327823
"SinthionMaleme",-13.916667,13.8167,0.5,"sorghum","DFF-2123",50000,0.0700310602951302,0.0589504043711644,0.0416975470327823
"SinthionMaleme",-13.916667,13.8167,0.666666667,"millet","Ex-Tukur",50000,0.0700310602951302,0.0589504043711644,0.0416975470327823
"SinthionMaleme",-13.916667,13.8167,0.185185185,"millet","Ex-Mokwa",50000,0.0700310602951302,0.0589504043711644,0.0416975470327823
"SinthionMaleme",-13.916667,13.8167,0.222222222,"maize","NigCompB",50000,0.0700310602951302,0.0589504043711644,0.0416975470327823
"SinthionMaleme",-13.916667,13.8167,0.12962963,"maize","BiuYellowXC-10",50000,0.0700310602951302,0.0589504043711644,0.0416975470327823
"Tamale",-0.8393,9.40079,0.111111111,"sorghum","IS-2652",50000,0.0990946970293078,0.0979643652653409,0.0892485342527618
"Tamale",-0.8393,9.40079,0.333333333,"sorghum","IS-3469",50000,0.0990946970293078,0.0979643652653409,0.0892485342527618
"Tamale",-0.8393,9.40079,0.136752137,"sorghum","IS-9289",50000,0.0990946970293078,0.0979643652653409,0.0892485342527618
"Tamale",-0.8393,9.40079,1,"sorghum","DFF-2123",50000,0.0990946970293078,0.0979643652653409,0.0892485342527618
"Tamale",-0.8393,9.40079,0,"millet","Ex-Tukur",50000,0.0990946970293078,0.0979643652653409,0.0892485342527618
"Tamale",-0.8393,9.40079,0.068376068,"millet","Ex-Mokwa",50000,0.0990946970293078,0.0979643652653409,0.0892485342527618
"Tamale",-0.8393,9.40079,0.05982906,"maize","NigCompB",50000,0.0990946970293078,0.0979643652653409,0.0892485342527618
"Tamale",-0.8393,9.40079,0.299145299,"maize","BiuYellowXC-10",50000,0.0990946970293078,0.0979643652653409,0.0892485342527618
"WadMedani",33.538424,14.383395,0.713344316,"sorghum","IS-5603",50000,0.125535090950659,0.123725472098461,0.0850694110786932
"WadMedani",33.538424,14.383395,0.827018122,"sorghum","SRN-4841",50000,0.125535090950659,0.123725472098461,0.0850694110786932
"WadMedani",33.538424,14.383395,1,"sorghum","N-13",50000,0.125535090950659,0.123725472098461,0.0850694110786932
"WadMedani",33.538424,14.383395,0.881383855,"sorghum","CK-60B",50000,0.125535090950659,0.123725472098461,0.0850694110786932
"WadMedani",33.538424,14.383395,0.828665568,"sorghum","1202B",50000,0.125535090950659,0.123725472098461,0.0850694110786932
"WadMedani",33.538424,14.383395,0.594728171,"sorghum","2219B",50000,0.125535090950659,0.123725472098461,0.0850694110786932
"WadMedani",33.538424,14.383395,0.100494234,"millet","B-282",50000,0.125535090950659,0.123725472098461,0.0850694110786932
"WadMedani",33.538424,14.383395,0.232289951,"millet","Ex-Bomu",50000,0.125535090950659,0.123725472098461,0.0850694110786932
"WadMedani",33.538424,14.383395,0.100494234,"millet","J-104",50000,0.125535090950659,0.123725472098461,0.0850694110786932
"WadMedani",33.538424,14.383395,0.123558484,"millet","D2-Comp",50000,0.125535090950659,0.123725472098461,0.0850694110786932
"WadMedani",33.538424,14.383395,0.161449753,"millet","CIVT-II",50000,0.125535090950659,0.123725472098461,0.0850694110786932
"WadMedani",33.538424,14.383395,0.420098847,"maize","D-771",50000,0.125535090950659,0.123725472098461,0.0850694110786932
"WadMedani",33.538424,14.383395,0.477759473,"maize","Diara",50000,0.125535090950659,0.123725472098461,0.0850694110786932
"WadMedani",33.538424,14.383395,0.472817133,"maize","Syn-B23",50000,0.125535090950659,0.123725472098461,0.0850694110786932
"WadMedani",33.538424,14.383395,0.377265239,"maize","L-4",50000,0.125535090950659,0.123725472098461,0.0850694110786932
"Yendi",-0.00991,9.44272,0.408695652,"sorghum","IS-2652",50000,0.0657132902945425,0.072786697718258,0.0582941014054894
"Yendi",-0.00991,9.44272,0.533333333,"sorghum","IS-3469",50000,0.0657132902945425,0.072786697718258,0.0582941014054894
"Yendi",-0.00991,9.44272,0.144927536,"sorghum","IS-9289",50000,0.0657132902945425,0.072786697718258,0.0582941014054894
"Yendi",-0.00991,9.44272,1,"sorghum","DFF-2123",50000,0.0657132902945425,0.072786697718258,0.0582941014054894
"Yendi",-0.00991,9.44272,0.005797101,"millet","Ex-Tukur",50000,0.0657132902945425,0.072786697718258,0.0582941014054894
"Yendi",-0.00991,9.44272,0.005797101,"millet","Ex-Mokwa",50000,0.0657132902945425,0.072786697718258,0.0582941014054894
"Yendi",-0.00991,9.44272,0.142028986,"maize","NigCompB",50000,0.0657132902945425,0.072786697718258,0.0582941014054894
"Yendi",-0.00991,9.44272,0.231884058,"maize","BiuYellowXC-10",50000,0.0657132902945425,0.072786697718258,0.0582941014054894
